timestamp,scenario,algorithm,total_threats,actual_threats,deviated,intercepted,missed,intercept_rate,avg_solve_time,std_solve_time,min_solve_time,max_solve_time,final_objective,avg_objective,std_objective,min_objective,max_objective,missiles_used,missile_efficiency,asset_survival_rate,assets_survived,assets_lost,total_optimizations,simulation_time
2026-03-16 21:51:05,LARGE_40,MIP,40,38,2,38,0,100.0,0.43433055612776017,0.19649945097630253,0.06911230087280273,0.7435691356658936,0.59976,8.705779999999997,3.8549118775401325,0.59976,11.980799999999997,76,50.0,100.0,20,0,72,460
2026-03-16 21:52:15,LARGE_40,MIP,40,40,0,40,0,100.0,0.45681901110543144,0.2113746595594134,0.08392095565795898,0.8015575408935547,0.59976,8.955679999999997,3.6897440611511243,0.59976,11.980799999999997,80,50.0,100.0,20,0,72,370
2026-03-16 21:53:30,LARGE_40,MIP,40,39,1,39,0,100.0,0.4675605901530091,0.2153276771331732,0.0667428970336914,0.8240125179290771,0.59976,8.913072676056336,3.698006630466925,0.59976,11.980799999999997,78,50.0,100.0,20,0,71,370
