timestamp,scenario,algorithm,total_threats,actual_threats,deviated,intercepted,missed,intercept_rate,avg_solve_time,std_solve_time,min_solve_time,max_solve_time,final_objective,avg_objective,std_objective,min_objective,max_objective,missiles_used,missile_efficiency,asset_survival_rate,assets_survived,assets_lost,total_optimizations,simulation_time
2026-03-16 21:12:31,MEDIUM_20,MIP,20,20,0,20,0,100.0,0.26212476260626494,0.09208573256166999,0.07167243957519531,0.5311098098754883,0.59976,4.68684537313433,1.7058392581325053,0.59976,5.9904,40,50.0,100.0,10,0,67,350
2026-03-16 21:13:13,MEDIUM_20,MIP,20,19,1,19,0,100.0,0.26165730462354775,0.12467098153961037,0.05708885192871094,0.9514133930206299,0.59976,4.706015294117647,1.7005048260966078,0.59976,5.9904,38,50.0,100.0,10,0,68,350
2026-03-16 21:13:54,MEDIUM_20,MIP,20,19,1,19,0,100.0,0.24274861812591553,0.08825002004163793,0.06905078887939453,0.4824521541595459,0.59976,4.5825352941176485,1.7508079224784052,0.59976,5.9904,38,50.0,100.0,10,0,68,425
