condition,scenario,c1,c2,c3,c4,intercept_rate_mean,intercept_rate_std,objective_mean,intercept_rate_delta,objective_delta_pct
Baseline,SMALL_3,0.25,0.3,0.25,0.2,100.0,0.0,310.85826000000003,0.0,0.0
Baseline,MEDIUM_10,0.25,0.3,0.25,0.2,100.0,0.0,331.29175200000003,0.0,0.0
Baseline,MEDIUM_20,0.25,0.3,0.25,0.2,100.0,0.0,149.33302533333332,0.0,0.0
c1 +20%,SMALL_3,0.3,0.3,0.25,0.2,100.0,0.0,319.7792,0.0,2.869777370561095
c1 +20%,MEDIUM_10,0.3,0.3,0.25,0.2,100.0,0.0,297.062248,0.0,10.332132868795362
c1 +20%,MEDIUM_20,0.3,0.3,0.25,0.2,100.0,0.0,149.21262766666666,0.0,0.08062360378617967
c1 -20%,SMALL_3,0.2,0.3,0.25,0.2,100.0,0.0,307.853725,0.0,0.9665289254337434
c1 -20%,MEDIUM_10,0.2,0.3,0.25,0.2,100.0,0.0,312.33261999999996,0.0,5.722790225094426
c1 -20%,MEDIUM_20,0.2,0.3,0.25,0.2,100.0,0.0,145.48158333333333,0.0,2.57909594438538
c2 +20%,SMALL_3,0.25,0.36,0.25,0.2,100.0,0.0,309.905315,0.0,0.3065528964873111
c2 +20%,MEDIUM_10,0.25,0.36,0.25,0.2,100.0,0.0,258.71118666666666,0.0,21.908352651451874
c2 +20%,MEDIUM_20,0.25,0.36,0.25,0.2,100.0,0.0,150.52057066666666,0.0,0.7952328901678355
c2 -20%,SMALL_3,0.25,0.24,0.25,0.2,100.0,0.0,317.78325,0.0,2.2277001743495504
c2 -20%,MEDIUM_10,0.25,0.24,0.25,0.2,100.0,0.0,240.619864,0.0,27.36919571725408
c2 -20%,MEDIUM_20,0.25,0.24,0.25,0.2,100.0,0.0,172.81880233333334,0.0,15.727115249675212
c3 +20%,SMALL_3,0.25,0.3,0.3,0.2,100.0,0.0,325.54665,0.0,4.725108478700218
c3 +20%,MEDIUM_10,0.25,0.3,0.3,0.2,100.0,0.0,244.55736000000002,0.0,26.180667486101495
c3 +20%,MEDIUM_20,0.25,0.3,0.3,0.2,100.0,0.0,145.91846966666668,0.0,2.2865375284836373
c3 -20%,SMALL_3,0.25,0.3,0.2,0.2,100.0,0.0,337.14681,0.0,8.456764185709584
c3 -20%,MEDIUM_10,0.25,0.3,0.2,0.2,100.0,0.0,245.303592,0.0,25.9554182924542
c3 -20%,MEDIUM_20,0.25,0.3,0.2,0.2,100.0,0.0,146.85799333333333,0.0,1.6573909183687685
c4 +20%,SMALL_3,0.25,0.3,0.25,0.24,100.0,0.0,302.91519500000004,0.0,2.5552047418653085
c4 +20%,MEDIUM_10,0.25,0.3,0.25,0.24,100.0,0.0,353.57005733333335,0.0,6.7246785345061415
c4 +20%,MEDIUM_20,0.25,0.3,0.25,0.24,100.0,0.0,150.45673766666667,0.0,0.7524874895054545
c4 -20%,SMALL_3,0.25,0.3,0.25,0.16,100.0,0.0,352.70019,0.0,13.460131315153081
c4 -20%,MEDIUM_10,0.25,0.3,0.25,0.16,100.0,0.0,249.34810000000002,0.0,24.7345886232628
c4 -20%,MEDIUM_20,0.25,0.3,0.25,0.16,100.0,0.0,157.01965533333336,0.0,5.147307491321725
