timestamp,scenario,algorithm,total_threats,actual_threats,deviated,intercepted,missed,intercept_rate,avg_solve_time,std_solve_time,min_solve_time,max_solve_time,final_objective,avg_objective,std_objective,min_objective,max_objective,missiles_used,missile_efficiency,asset_survival_rate,assets_survived,assets_lost,total_optimizations,simulation_time
2026-03-16 21:25:02,STRESS_100,MIP,100,93,7,89,4,95.6989247311828,0.8014998149871826,0.4677918624238076,0.16008687019348145,1.6823375225067139,0.59976,8.204428799999999,3.9334168456122924,0.59976,11.995199999999999,178,50.0,80.0,16,4,25,465
2026-03-16 21:30:27,STRESS_100,MIP,100,93,7,89,4,95.6989247311828,0.785838623046875,0.48298207965914086,0.13518428802490234,1.7194573879241943,0.59976,8.348371199999999,3.8228650835270868,0.59976,11.995199999999999,178,50.0,80.0,16,4,25,445
2026-03-16 21:38:01,STRESS_100,MIP,100,99,1,95,4,95.95959595959596,0.7182750225067138,0.42956895058118694,0.09602046012878418,1.5618369579315186,0.59976,8.4206304,3.8514866890762893,0.59976,11.995199999999999,190,50.0,80.0,16,4,25,375
2026-03-16 22:21:51,STRESS_100,MIP,100,100,0,0,100,0.0,0.41579696110316683,0.12098958649407206,0.18520689010620117,0.5866694450378418,10.795679999999999,6.425999999999999,3.002469754585381,1.79928,10.795679999999999,0,0,10.0,2,18,7,35
2026-04-05 19:07:42,STRESS_100,MIP,100,94,6,29,65,30.851063829787233,0.23535245656967163,0.044569534901655695,0.17272019386291504,0.3376882076263428,7.796879999999999,6.59736,2.8449114741938804,1.79928,10.795679999999999,58,50.0,0.0,0,20,8,455
2026-04-05 20:17:58,STRESS_100,MIP,100,92,8,75,17,81.52173913043478,0.6938585093323614,0.3512728344732377,0.09617900848388672,1.3531789779663086,-2031.1115085000001,-27719.451067809863,12642.048733864367,-38732.252999000004,-2031.1115085000001,150,50.0,60.0,12,8,71,470
2026-04-05 20:44:34,STRESS_100,MIP,100,94,6,75,19,79.7872340425532,0.6079199943277571,0.2630171298628711,0.06917285919189453,0.947613000869751,-1247.874078,-27815.569375513893,12518.46407542037,-38758.9665975,-1247.874078,150,50.0,70.0,14,6,72,470
2026-04-05 22:24:47,STRESS_100,MIP,100,97,3,75,22,77.31958762886599,0.6345664494567447,0.25997041310176405,0.15652251243591309,1.1041996479034424,-640.953287,-27889.646318930558,12583.88077699303,-38686.274410000005,-640.953287,150,50.0,70.0,14,6,72,470
2026-04-05 22:32:52,STRESS_100,MIP,100,95,5,75,20,78.94736842105263,0.7707698941230774,0.35261387919746234,0.10849547386169434,1.3262896537780762,-646.6319275,-27867.184128555553,12581.379345340123,-38752.0055715,-646.6319275,150,50.0,75.0,15,5,72,470
2026-04-05 22:50:13,STRESS_100,MIP,100,95,5,75,20,78.94736842105263,0.7490657336182065,0.3512656364311536,0.10601973533630371,1.3005268573760986,-629.9510295,-27909.969386090277,12515.366805544289,-38722.64511500001,-629.9510295,150,50.0,75.0,15,5,72,470
