condition,scenario,cT,cG,cM,cE,intercept_rate,objective,solve_time,change_rate
Base,SMALL_3,0.3,0.25,0.25,0.2,100.0,311.14833,0.01135177721922425,46.78362573099415
Base,MEDIUM_10,0.3,0.25,0.25,0.2,100.0,258.5989,0.017378559818974248,87.63440860215053
Base,MEDIUM_20,0.3,0.25,0.25,0.2,100.0,144.12218099999998,0.02420169933169496,66.16915422885573
Time-heavy,SMALL_3,0.45,0.2,0.2,0.15,100.0,309.24427,0.011112061040154818,52.046783625730995
Time-heavy,MEDIUM_10,0.45,0.2,0.2,0.15,100.0,259.047788,0.01776672166491312,90.86021505376344
Time-heavy,MEDIUM_20,0.45,0.2,0.2,0.15,100.0,168.30376066666668,0.024361544981803818,68.99592944369063
Geo-heavy,SMALL_3,0.2,0.4,0.25,0.15,100.0,363.993545,0.011829498170436112,57.89473684210526
Geo-heavy,MEDIUM_10,0.2,0.4,0.25,0.15,100.0,305.647016,0.017698800122296368,92.4731182795699
Geo-heavy,MEDIUM_20,0.2,0.4,0.25,0.15,100.0,166.84685466666667,0.023746070141048504,68.49087893864014
Motion-heavy,SMALL_3,0.2,0.25,0.4,0.15,100.0,306.13158500000003,0.06902138529152706,50.292397660818715
Motion-heavy,MEDIUM_10,0.2,0.25,0.4,0.15,100.0,241.29613200000003,0.017066667950342573,91.39784946236558
Motion-heavy,MEDIUM_20,0.2,0.25,0.4,0.15,100.0,151.96933966666666,0.025075734830370136,63.68159203980099
Equal,SMALL_3,0.25,0.25,0.25,0.25,100.0,362.81496500000003,0.069703108962925,53.21637426900585
Equal,MEDIUM_10,0.25,0.25,0.25,0.25,100.0,260.671696,0.017312603652792632,90.86021505376344
Equal,MEDIUM_20,0.25,0.25,0.25,0.25,100.0,145.78570766666667,0.07373746236165364,72.636815920398
